fileID,vowel,f1,f2,vot,notes
bi01_kaka,a,650.90,1637.02,24.81,'
bi01_kaka1,a,714.32,1567.58,25.49,'
bi01_kaka2,a,709.19,1560.03,28.29,'
bi01_keke,e,495.24,2168.42,31.55,'
bi01_keke1,e,893.01,2152.98,32.39,'
bi01_keke2,e,579.31,2339.40,32.87,'
bi01_kiki,i,823.90,2711.97,18.54,'
bi01_kiki1,i,348.26,2632.05,52.80,'
bi01_kiki2,i,493.55,2765.72,50.48,'
bi01_koko,o,498.60,1049.62,30.88,'
bi01_koko1,o,513.35,1012.33,23.98,'
bi01_koko2,o,599.63,1095.21,26.13,'
bi01_kuku,u,520.29,1085.70,31.55,'
bi01_kuku1,u,457.27,1085.94,29.56,'
bi01_kuku2,u,231.68,1523.96,167.71,'
bi01_paka,a,636.92,1798.53,10.82,'
bi01_paka1,a,478.08,1203.61,26.06,'
bi01_paka2,a,723.91,1591.12,18.49,'
bi01_peke,e,480.94,2388.24,16.16,'
bi01_peke1,e,538.02,2385.35,16.12,'
bi01_peke2,e,586.71,2189.72,13.36,'
bi01_piki,i,394.24,2572.92,23.80,'
bi01_piki1,i,300.41,2576.74,27.74,'
bi01_piki2,i,412.77,2696.80,14.36,'
bi01_poko,o,574.84,1182.03,20.75,'
bi01_poko1,o,456.21,1060.58,17.19,'
bi01_poko2,o,350.93,1039.92,18.90,'
bi01_puku,u,436.90,936.48,18.83,'
bi01_puku1,u,438.71,919.01,46.71,'
bi01_puku2,u,425.06,979.09,23.93,'
bi01_taka,a,662.33,1678.52,10.16,'
bi01_taka1,a,697.26,1675.21,16.65,'
bi01_taka2,a,300.67,1410.20,17.95,'
bi01_teke,e,518.24,2340.06,15.48,'
bi01_teke1,e,669.55,2311.48,14.44,'
bi01_teke2,e,514.68,2361.35,17.17,'
bi01_tiki,i,298.87,2629.78,16.16,'
bi01_tiki1,i,461.89,2637.19,18.80,'
bi01_tiki2,i,448.42,2666.14,27.66,'
bi01_toko,o,598.46,1154.98,16.57,'
bi01_toko1,o,526.94,1062.50,16.22,'
bi01_toko2,o,510.96,1073.20,19.27,'
bi01_tuku,u,529.54,831.24,14.10,'
bi01_tuku1,u,477.36,1022.60,22.78,'
bi01_tuku2,u,432.98,963.16,15.22,'
