fileID,f1,f2,vot,notes
bi03_kaka,1065.17,1898.97,20.81,
bi03_kaka1,884.78,1255.37,24.17,
bi03_kaka2,795.90,1673.64,29.13,
bi03_keke,528.73,2316.08,23.35,
bi03_keke1,526.57,2309.58,18.79,
bi03_keke2,642.11,2448.33,36.68,
bi03_kiki,395.75,2658.40,50.08,
bi03_kiki1,360.27,2671.72,33.47,
bi03_kiki2,318.06,2208.42,28.86,
bi03_koko,737.47,793.13,26.74,
bi03_koko1,389.12,933.01,24.58,
bi03_koko2,578.25,1290.34,38.21,
bi03_kuku,241.03,592.99,49.44,
bi03_kuku1,407.37,840.26,20.90,
bi03_kuku2,403.89,821.71,57.92,
bi03_paka,1135.54,1701.83,18.15,
bi03_paka1,750.19,1621.19,18.53,
bi03_paka2,721.83,1802.91,22.53,
bi03_peke,487.95,1841.20,28.47,
bi03_peke1,538.85,1612.87,35.29,
bi03_peke2,553.08,2291.83,22.88,
bi03_piki,303.57,1821.05,19.09,
bi03_piki1,325.18,2820.73,39.33,
bi03_piki2,1272.89,2561.38,42.82,
bi03_poko,475.29,1605.11,47.95,
bi03_poko1,560.40,1703.41,42.10,
bi03_poko2,356.95,1645.82,17.00,
bi03_puku,374.18,584.93,40.06,
bi03_puku1,538.45,1771.53,41.65,
bi03_puku2,421.55,814.84,18.58,
bi03_taka,1178.99,1506.15,21.01,
bi03_taka1,1408.15,1961.16,27.26,
bi03_taka2,284.37,1576.44,59.82,
bi03_teke,1035.70,1980.10,20.73,
bi03_teke1,207.69,1855.93,27.94,
bi03_teke2,633.69,1920.56,34.58,
bi03_tiki,232.75,2694.11,20.19,
bi03_tiki1,209.06,2624.63,25.94,
bi03_tiki2,445.29,2799.80,42.92,
bi03_toko,665.82,1339.44,22.80,
bi03_toko1,663.97,2083.22,36.76,
bi03_toko2,777.56,1089.15,23.54,
bi03_tuku,659.84,809.38,25.95,
bi03_tuku1,396.22,726.79,15.47,
bi03_tuku2,509.40,1734.57,41.78,
