fileID,vowel,f1,f2,vot,notes
ne01_kaka,a,867.99,1652.46,41.42,'
ne01_kaka1,a,1164.94,1713.64,27.34,'
ne01_kaka2,a,1235.16,2119.21,41.22,'
ne01_keke,e,471.63,2487.67,41.40,'
ne01_keke1,e,1083.18,2311.15,27.75,'
ne01_keke2,e,1064.45,2215.99,30.37,'
ne01_kiki,i,322.32,2840.63,37.08,'
ne01_kiki1,i,1385.75,2949.84,60.95,'
ne01_kiki2,i,438.64,2774.43,42.72,'
ne01_koko,o,667.52,1085.09,53.11,'
ne01_koko1,o,1081.75,1452.16,35.71,'
ne01_koko2,o,655.42,1103.39,34.83,'
ne01_kuku,u,1163.13,2215.23,32.64,'
ne01_kuku1,u,981.81,1850.79,49.02,'
ne01_kuku2,u,1187.93,2413.83,45.69,'
ne01_paka,a,757.90,1497.81,23.54,'
ne01_paka1,a,798.20,1528.24,14.02,'
ne01_paka2,a,1454.76,1770.09,29.28,'
ne01_peke,e,295.13,2575.33,25.28,'
ne01_peke1,e,386.99,2674.67,32.87,'
ne01_peke2,e,546.47,2518.59,11.00,'
ne01_piki,i,1173.15,2660.41,41.71,'
ne01_piki1,i,704.87,2612.68,36.96,'
ne01_piki2,i,1055.88,2639.77,62.02,'
ne01_poko,o,836.17,1159.52,48.81,'
ne01_poko1,o,992.47,1784.26,14.88,'
ne01_poko2,o,1129.35,1778.39,47.52,'
ne01_puku1,u,1218.64,1922.62,41.11,'
ne01_puku2,u,437.84,1012.59,68.15,'
ne01_taka,a,1215.98,1764.54,32.73,'
ne01_taka1,a,1308.54,2215.44,29.32,'
ne01_taka2,a,1331.49,2095.16,36.27,'
ne01_teke,e,1128.91,2466.40,26.07,'
ne01_teke1,e,1071.75,2440.93,25.12,'
ne01_teke2,e,1283.76,2062.53,21.44,'
ne01_tiki,i,1060.36,2458.37,37.68,'
ne01_tiki1,i,661.59,2869.58,38.75,'
ne01_tiki2,i,364.14,3001.90,37.36,'
ne01_toko,o,570.42,967.88,37.09,'
ne01_toko1,o,389.80,1125.21,30.84,'
ne01_toko2,o,923.44,1991.09,48.43,'
ne01_tuku,u,1079.17,1859.23,38.93,'
ne01_tuku1,u,414.78,1070.43,27.82,'
ne01_tuku2,u,1054.89,1620.42,50.26,'
